,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,1.7,1964,1964-1967,-28.9,1966,1964-1967
1,1,2,,,1.1,1964,1964-1967,-25.6,1965,1964-1967
2,1,3,,,-0.6,1964,1964-1966,-29.4,1967,1964-1967
3,1,4,,,-1.1,1965,1964-1966,-27.8,1967,1964-1967
4,1,5,,,-9.4,1965,1964-1967,-35.0,1967,1964-1967
5,1,6,,,-1.1,1965,1964-1967,-31.7,1966,1964-1967
6,1,7,,,0.0,1965,1964-1967,-38.9,1966,1964-1967
7,1,8,,,-2.2,1964,1964-1967,-35.6,1967,1964-1967
8,1,9,,,-8.3,1966,1964-1967,-38.9,1965,1964-1967
9,1,10,,,-19.4,1966,1964-1966,-33.3,1965,1964-1967
10,1,11,,,-2.2,1967,1964-1967,-37.8,1966,1964-1967
11,1,12,,,-1.1,1967,1964-1967,-33.3,1964,1964-1967
12,1,13,,,-9.4,1964,1964-1966,-37.2,1965,1964-1967
13,1,14,,,-6.1,1964,1964-1967,-41.1,1965,1964-1967
14,1,15,,,-6.7,1964,1964-1967,-41.7,1965,1964-1967
15,1,16,,,-6.1,1965,1964-1967,-41.7,1965,1964-1967
16,1,17,,,-1.7,1964,1964-1967,-41.1,1967,1964-1967
17,1,18,,,-5.0,1964,1964-1967,-42.2,1967,1964-1967
18,1,19,,,-5.6,1966,1964-1967,-33.3,1967,1964-1967
19,1,20,,,0.0,1964,1964-1967,-30.0,1967,1964-1967
20,1,21,,,-2.2,1964,1964-1967,-28.3,1966,1964-1967
21,1,22,,,0.0,1964,1964-1967,-30.6,1965,1964-1967
22,1,23,,,-6.1,1965,1964-1966,-30.6,1966,1964-1967
23,1,24,,,-3.9,1965,1964-1967,-37.2,1966,1964-1967
24,1,25,,,-5.6,1965,1964-1967,-38.3,1966,1964-1967
25,1,26,,,-10.6,1964,1964-1966,-36.1,1967,1964-1967
26,1,27,,,-11.1,1964,1964-1967,-40.0,1966,1964-1967
27,1,28,,,-9.4,1964,1964-1967,-41.7,1966,1964-1967
28,1,29,,,-6.1,1964,1964-1966,-39.4,1965,1964-1967
29,1,30,,,1.7,1964,1964-1967,-30.6,1966,1964-1967
30,1,31,,,1.7,1964,1964-1967,-32.2,1965,1964-1967
31,2,1,,,-8.9,1964,1964-1967,-33.3,1965,1964-1967
32,2,2,,,-3.9,1966,1965-1967,-38.3,1965,1964-1967
33,2,3,,,-5.0,1967,1965-1967,-35.6,1965,1964-1967
34,2,4,,,-1.1,1964,1964-1967,-39.4,1966,1964-1967
35,2,5,,,-1.1,1964,1964-1967,-36.7,1967,1964-1967
36,2,6,,,0.0,1965,1964-1967,-46.7,1967,1964-1967
37,2,7,,,-0.6,1965,1964-1967,-40.6,1967,1964-1967
38,2,8,,,1.1,1966,1965-1967,-33.3,1964,1964-1967
39,2,9,,,5.0,1966,1965-1967,-31.7,1964,1964-1967
40,2,10,,,-0.6,1966,1964-1967,-36.7,1964,1964-1967
41,2,11,,,1.7,1964,1964-1967,-40.6,1967,1964-1967
42,2,12,,,0.0,1964,1964-1967,-48.3,1967,1964-1967
43,2,13,,,-4.4,1964,1964-1967,-37.2,1965,1964-1967
44,2,14,,,1.1,1964,1964-1967,-37.2,1966,1964-1967
45,2,15,,,-10.6,1964,1964-1967,-36.7,1967,1964-1967
46,2,16,,,-3.9,1965,1964-1967,-40.6,1967,1964-1967
47,2,17,,,-1.7,1964,1964-1967,-47.2,1967,1964-1967
48,2,18,,,-4.4,1964,1964-1967,-46.1,1966,1964-1967
49,2,19,,,-8.9,1965,1964-1967,-45.0,1966,1964-1967
50,2,20,,,-3.9,1965,1964-1967,-34.4,1966,1964-1967
